name,x,y,z
Sphere,-10.917186737060547,-7.530918717384338,7.732655107975006
Sphere.001,-14.042440056800842,-11.733976006507874,9.267957508563995
Sphere.002,-14.357592165470123,-16.460847854614258,9.94410365819931
Sphere.003,-14.852321147918701,5.490870028734207,7.9802632331848145
Sphere.004,-10.019678622484207,0.2924196422100067,5.510267615318298
Sphere.005,-9.9167101085186,-2.7714449912309647,6.134076416492462
Sphere.006,-15.093618631362915,-0.9366711601614952,10.857520252466202
Sphere.007,-14.343619346618652,-5.914785340428352,10.748092830181122
Sphere.008,-10.478150844573975,8.780904859304428,7.29803666472435
Sphere.009,-14.816346764564514,11.869389563798904,10.6266550719738
Sphere.010,-17.40894913673401,15.872421860694885,9.095010161399841
Sphere.011,-10.150454938411713,14.46848064661026,11.0618457198143
Sphere.012,-10.10759174823761,-15.676045417785645,9.99971628189087
Sphere.013,-9.818702936172485,-20.16286849975586,12.630248069763184
Sphere.014,-1.7962202429771423,24.39347356557846,10.855165123939514
Sphere.015,-2.762528508901596,18.651632964611053,11.11748069524765
Sphere.016,-4.389020800590515,13.246318697929382,9.850945323705673
Sphere.017,-0.22640526294708252,2.9596231877803802,8.698248863220215
Sphere.018,-4.9054354429244995,-1.1324290186166763,7.809852808713913
Sphere.019,-4.362684488296509,-13.47554326057434,9.409427642822266
Sphere.020,-0.8688122034072876,-10.31678393483162,9.957688301801682
Sphere.022,-7.802456617355347,24.066725373268127,10.478251427412033
